"date","newCases","city"
2020-12-08,1466,"Stockholm"
2020-12-09,1480,"Stockholm"
2020-12-10,1563,"Stockholm"
2020-12-11,1624,"Stockholm"
2020-12-12,1624,"Stockholm"
2020-12-13,1624,"Stockholm"
2020-12-14,1619,"Stockholm"
2020-12-15,1631,"Stockholm"
2020-12-16,1649,"Stockholm"
2020-12-17,1672,"Stockholm"
2020-12-18,1617,"Stockholm"
2020-12-19,1617,"Stockholm"
2020-12-20,1617,"Stockholm"
2020-12-21,1498,"Stockholm"
2020-12-22,1496,"Stockholm"
2020-12-23,1423,"Stockholm"
2020-12-24,1053,"Stockholm"
2020-12-25,824,"Stockholm"
2020-12-26,824,"Stockholm"
2020-12-27,824,"Stockholm"
2020-12-28,1068,"Stockholm"
2020-12-29,1089,"Stockholm"
2020-12-30,1126,"Stockholm"
2020-12-31,1126,"Stockholm"
2021-01-01,1126,"Stockholm"
2021-01-02,1126,"Stockholm"
2021-01-03,1126,"Stockholm"
2021-01-04,897,"Stockholm"
2021-01-05,919,"Stockholm"
2021-01-06,664,"Stockholm"
2021-01-07,970,"Stockholm"
2021-01-08,1122,"Stockholm"
2021-01-09,1122,"Stockholm"
2021-01-10,1122,"Stockholm"
2021-01-11,828,"Stockholm"
2021-01-12,746,"Stockholm"
2021-01-13,897,"Stockholm"
2021-01-14,691,"Stockholm"
2021-01-15,617,"Stockholm"
2021-01-16,617,"Stockholm"
2021-01-17,617,"Stockholm"
2021-01-18,535,"Stockholm"
2021-01-19,502,"Stockholm"
2021-01-20,489,"Stockholm"
2021-01-21,488,"Stockholm"
2021-01-22,494,"Stockholm"
2021-01-23,494,"Stockholm"
2021-01-24,494,"Stockholm"
2021-01-25,504,"Stockholm"
2021-01-26,503,"Stockholm"
2021-01-27,519,"Stockholm"
2021-01-28,501,"Stockholm"
2021-01-29,479,"Stockholm"
2021-01-30,479,"Stockholm"
2021-01-31,479,"Stockholm"
2021-02-01,501,"Stockholm"
2021-02-02,516,"Stockholm"
2021-02-03,480,"Stockholm"
2021-02-04,469,"Stockholm"
2021-02-05,492,"Stockholm"
2021-02-06,492,"Stockholm"
2021-02-07,492,"Stockholm"
2021-02-08,459,"Stockholm"
2021-02-09,477,"Stockholm"
2021-02-10,473,"Stockholm"
2021-02-11,503,"Stockholm"
2021-02-12,534,"Stockholm"
2021-02-13,534,"Stockholm"
2021-02-14,534,"Stockholm"
2021-02-15,570,"Stockholm"
2021-02-16,596,"Stockholm"
2021-02-17,606,"Stockholm"
2021-02-18,658,"Stockholm"
2021-02-19,687,"Stockholm"
2021-02-20,687,"Stockholm"
2021-02-21,687,"Stockholm"
2021-02-22,727,"Stockholm"
2021-02-23,753,"Stockholm"
2021-02-24,846,"Stockholm"
2021-02-25,842,"Stockholm"
2021-02-26,831,"Stockholm"
2021-02-27,831,"Stockholm"
2021-02-28,831,"Stockholm"
2021-03-01,904,"Stockholm"
2021-03-02,933,"Stockholm"
2021-03-03,922,"Stockholm"
2021-03-04,929,"Stockholm"
2021-03-05,950,"Stockholm"
2021-03-06,950,"Stockholm"
2021-03-07,950,"Stockholm"
2021-03-08,955,"Stockholm"
2021-03-09,932,"Stockholm"
2021-03-10,935,"Stockholm"
2021-03-11,1002,"Stockholm"
2021-03-12,1029,"Stockholm"
2021-03-13,1029,"Stockholm"
2021-03-14,1029,"Stockholm"
2021-03-15,1092,"Stockholm"
2021-03-16,1128,"Stockholm"
2021-03-17,1193,"Stockholm"
2021-03-18,1207,"Stockholm"
2021-03-19,1196,"Stockholm"
2021-03-20,1196,"Stockholm"
2021-03-21,1196,"Stockholm"
2021-03-22,1193,"Stockholm"
2021-03-23,1126,"Stockholm"
2021-03-24,1164,"Stockholm"
2021-03-25,1190,"Stockholm"
2021-03-26,1215,"Stockholm"
2021-03-27,1215,"Stockholm"
2021-03-28,1215,"Stockholm"
